Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market_max,1,1,1,1,4,1,1.6,1.3416407864998738
Average_payment_period_min,22,7,3,31,1,1,12.8,13.0843417870369
Operating_assets_Ratio_max,4,2,2,6,27,2,8.2,10.63954886261631
EPS_growth_median,186,78,79,2,86,2,86.2,65.5148838051324
Profit_margin_before_interest_and_taxes_min,3,77,72,36,18,3,41.2,32.614413991362774
Total_income_growth_median,179,64,74,3,79,3,79.8,63.29059961795274
Profit_margin_growth_rate_median,20,36,29,4,17,4,21.2,12.194260945215172
ROI_max,5,3,4,5,2,5,3.8,1.3038404810405297
Equity_Ratio_min,33,5,9,8,25,5,16.0,12.288205727444508
Return_ratio_without_risk_min,12,16,11,42,5,5,17.2,14.411800720243116
Return_max,112,62,5,135,39,5,70.6,53.00283011311754
ROA_max,17,19,8,7,6,6,11.4,6.107372593840988
Debt_to_equity_ratio_min,34,6,10,9,24,6,16.6,11.949895397031725
Profit_margin_before_interest_and_taxes_median,6,48,39,124,10,6,45.4,47.51631298827803
Liquidity_ratios_min,10,4,7,52,7,7,16.0,20.23610634484806
DuPont_Ratio_max,8,9,12,17,36,8,16.4,11.502173707608488
Longterm_debt_to_equity_ratio_median,43,8,21,19,88,8,35.8,31.822947695020332
Operating_cash_flow_to_sales_min,15,66,42,188,8,8,63.8,73.14506135071595
Return_mean,21,30,13,184,9,9,51.4,74.56071351589924
Profit_margin_before_interest_and_taxes_mean,9,55,48,150,19,9,56.2,55.85427467974139
Equity_Ratio_median,55,10,23,14,60,10,32.4,23.458473948660853
Longterm_debt_to_equity_ratio_min,58,22,14,10,82,10,37.2,31.41973901864877
DuPont_Ratio_median,24,15,16,11,44,11,22.0,13.171939872319491
Debt_to_equity_ratio_median,56,11,24,15,61,11,33.4,23.458473948660853
Quick_Ratio_min,18,29,28,136,11,11,44.4,51.74263232577175
P_to_S_median,11,54,51,145,14,11,55.0,54.161794652688535
Equity_Ratio_mean,64,13,25,12,83,12,39.4,32.253681960359195
Profit_margin_growth_rate_min,101,12,57,68,133,12,74.2,45.76789267597974
EPS_growth_mean,61,24,37,26,13,13,32.2,18.212632978237934
Debt_to_equity_ratio_mean,65,14,26,13,84,13,40.4,32.253681960359195
Return_median,14,33,41,111,30,14,45.8,37.74519837012385
Profit_margin_growth_rate_max,16,34,31,109,15,15,41.0,38.96793553679743
Current_debt_to_total_debt_Ratio_max,92,20,15,91,72,15,58.0,37.8615900352851
DuPont_Ratio_mean,36,21,18,16,57,16,29.6,17.21336689901194
Profit_margin_growth_rate_mean,19,35,30,117,16,16,43.4,41.87242529398076
Average_payment_period_median,2,18,6,18,3,18,9.4,7.987490219086344
Return_ratio_without_risk_mean,50,56,19,54,23,19,40.4,17.896927110540513
Debt_to_equity_ratio_max,90,27,46,21,138,21,64.4,49.22702509800892
Debt_to_total_assets_ratio_max,25,38,22,35,33,22,30.6,6.8044103344816
Equity_Ratio_max,91,26,47,22,137,22,64.6,48.8702363407422
ROI_mean,38,23,17,23,20,23,24.2,8.105553651663778
Cash_to_total_assets_ratio_mean,132,150,154,24,153,24,122.6,55.837263543264726
Total_income_growth_mean,57,25,35,25,12,25,30.8,16.769019053003667
EPS_max,62,58,38,41,26,26,45.0,14.866068747318506
Net_profit_margin_median,26,63,59,127,31,26,61.2,40.27654404240761
Debt_to_total_assets_ratio_median,29,46,27,43,40,27,37.0,8.514693182963201
Total_asset_turnover_median,27,100,90,64,66,27,69.4,28.280735492557472
Return_from_market_mean,177,111,84,27,161,27,112.0,60.489668539346454
ROA_mean,103,59,43,28,69,28,60.4,28.474550040343043
Current_ratio_min,41,44,53,157,28,28,64.6,52.42423103870957
Operating_cash_flow_to_sales_median,28,132,83,168,58,28,93.8,56.33116366630464
ROI_median,53,41,32,29,54,29,41.8,11.562871615649808
Net_working_capital_min,153,43,36,45,29,29,61.2,51.70299797884065
Debt_to_total_assets_ratio_mean,30,51,33,44,46,30,40.8,8.927485648266257
DuPont_Ratio_min,119,47,58,30,123,30,75.4,42.82872867597169
Longterm_debt_to_equity_ratio_mean,102,31,44,34,159,31,74.0,55.583270864532615
Total_asset_turnover_min,31,116,97,90,96,31,86.0,32.25678223257862
P_to_S_min,32,82,81,138,52,32,77.0,40.0374824383352
Cash_to_total_assets_ratio_median,159,180,183,32,185,32,147.8,65.56447208664156
ROE_min,109,119,151,33,162,33,114.8,50.697139958778735
Quick_Ratio_mean,44,49,50,125,34,34,60.4,36.66469691678904
P_to_E_min,138,166,34,140,154,34,126.4,52.88478041932291
Net_profit_margin_mean,35,71,67,112,45,35,66.0,29.765752132274432
Sale_to_current_assets_max,51,96,109,63,35,35,70.8,30.938648968563577
Net_return_on_working_capital_max,37,32,52,37,22,37,36.0,10.8397416943394
Net_working_capital_median,97,42,56,39,37,37,54.2,25.053941805632103
Return_ratio_without_risk_max,98,37,93,153,78,37,91.8,41.769606174825256
Total_income_growth_max,67,69,73,56,38,38,60.6,14.117365193264641
Beta_median,133,127,124,38,145,38,113.4,42.91037170661657
Net_return_on_working_capital_median,39,39,20,49,21,39,33.6,12.641202474448386
Quick_Ratio_median,40,40,40,155,32,40,61.4,52.43853544865645
Liquidity_ratios_median,46,52,55,108,42,42,60.6,26.9777686252959
Profit_margin_before_interest_and_taxes_max,42,73,62,128,59,42,72.8,32.797865784224435
Sale_to_current_assets_mean,48,93,100,69,43,43,70.6,25.6963032360688
Sale_to_current_assets_min,45,99,94,70,62,45,74.0,22.5055548698538
ROA_median,140,105,80,46,128,46,99.8,37.83120405168199
Debt_to_total_assets_ratio_min,47,72,61,58,70,47,61.6,10.064790112068906
Operating_profit_margin_min,87,176,169,47,107,47,117.2,54.96544368964923
Working_capital_return_median,135,92,76,104,48,48,91.0,32.32645975048923
Sales_growth_rate_median,134,140,148,48,120,48,118.0,40.44749683231337
Sale_to_current_assets_median,49,86,96,76,49,49,71.2,21.463923220138486
Cash_to_total_assets_ratio_max,23,50,45,20,50,50,37.6,14.876155417311288
Working_capital_return_min,94,91,132,50,104,50,94.2,29.53303235362058
EPS_growth_max,70,65,75,57,51,51,63.6,9.6850400102426
